"","order.date","order.id","order.line","quantity","price","price.ext","customer.id","bikeshop.name","bikeshop.city","bikeshop.state","latitude","longitude","product.id","model","category.primary","category.secondary","frame"
"1",2011-01-07,1,1,1,6070,6070,2,"Ithaca Mountain Climbers","Ithaca","NY",42.443961,-76.501881,48,"Jekyll Carbon 2","Mountain","Over Mountain","Carbon"
"2",2011-01-07,1,2,1,5970,5970,2,"Ithaca Mountain Climbers","Ithaca","NY",42.443961,-76.501881,52,"Trigger Carbon 2","Mountain","Over Mountain","Carbon"
"3",2011-01-10,2,1,1,2770,2770,10,"Kansas City 29ers","Kansas City","KS",39.114053,-94.627464,76,"Beast of the East 1","Mountain","Trail","Aluminum"
"4",2011-01-10,2,2,1,5970,5970,10,"Kansas City 29ers","Kansas City","KS",39.114053,-94.627464,52,"Trigger Carbon 2","Mountain","Over Mountain","Carbon"
"5",2011-01-10,3,1,1,10660,10660,6,"Louisville Race Equipment","Louisville","KY",38.252665,-85.758456,2,"Supersix Evo Hi-Mod Team","Road","Elite Road","Carbon"
"6",2011-01-10,3,2,1,3200,3200,6,"Louisville Race Equipment","Louisville","KY",38.252665,-85.758456,50,"Jekyll Carbon 4","Mountain","Over Mountain","Carbon"
"7",2011-01-10,3,3,1,12790,12790,6,"Louisville Race Equipment","Louisville","KY",38.252665,-85.758456,1,"Supersix Evo Black Inc.","Road","Elite Road","Carbon"
"8",2011-01-10,3,4,1,5330,5330,6,"Louisville Race Equipment","Louisville","KY",38.252665,-85.758456,4,"Supersix Evo Hi-Mod Dura Ace 2","Road","Elite Road","Carbon"
"9",2011-01-10,3,5,1,1570,1570,6,"Louisville Race Equipment","Louisville","KY",38.252665,-85.758456,34,"Synapse Disc 105","Road","Endurance Road","Aluminum"
"10",2011-01-11,4,1,1,4800,4800,22,"Ann Arbor Speed","Ann Arbor","MI",42.280826,-83.743038,26,"Synapse Carbon Disc Ultegra D12","Road","Endurance Road","Carbon"
"11",2011-01-11,5,1,1,480,480,8,"Denver Bike Shop","Denver","CO",39.739236,-104.990251,96,"Catalyst 3","Mountain","Sport","Aluminum"
"12",2011-01-11,5,2,8,11190,89520,8,"Denver Bike Shop","Denver","CO",39.739236,-104.990251,66,"F-Si Black Inc.","Mountain","Cross Country Race","Carbon"
"13",2011-01-11,5,3,1,1250,1250,8,"Denver Bike Shop","Denver","CO",39.739236,-104.990251,35,"Synapse Disc Tiagra","Road","Endurance Road","Aluminum"
"14",2011-01-11,5,4,1,2060,2060,8,"Denver Bike Shop","Denver","CO",39.739236,-104.990251,72,"F-Si 2","Mountain","Cross Country Race","Aluminum"
"15",2011-01-11,6,1,1,1960,1960,16,"Phoenix Bi-peds","Phoenix","AZ",33.448377,-112.074037,45,"SuperX 105","Road","Cyclocross","Carbon"
"16",2011-01-11,6,2,1,4500,4500,16,"Phoenix Bi-peds","Phoenix","AZ",33.448377,-112.074037,39,"Slice Hi-Mod Dura Ace D12","Road","Triathalon","Carbon"
"17",2011-01-11,6,3,1,2340,2340,16,"Phoenix Bi-peds","Phoenix","AZ",33.448377,-112.074037,87,"Habit 5","Mountain","Trail","Aluminum"
"18",2011-01-11,6,4,1,2240,2240,16,"Phoenix Bi-peds","Phoenix","AZ",33.448377,-112.074037,31,"Synapse Carbon 105","Road","Endurance Road","Carbon"
"19",2011-01-12,7,1,1,10660,10660,9,"Minneapolis Bike Shop","Minneapolis","MN",44.977753,-93.265011,2,"Supersix Evo Hi-Mod Team","Road","Elite Road","Carbon"
"20",2011-01-12,7,2,1,2240,2240,9,"Minneapolis Bike Shop","Minneapolis","MN",44.977753,-93.265011,15,"CAAD12 Ultegra","Road","Elite Road","Aluminum"
"21",2011-01-12,7,3,1,1840,1840,9,"Minneapolis Bike Shop","Minneapolis","MN",44.977753,-93.265011,10,"Supersix Evo Tiagra","Road","Elite Road","Carbon"
"22",2011-01-12,7,4,1,3200,3200,9,"Minneapolis Bike Shop","Minneapolis","MN",44.977753,-93.265011,65,"Scalpel 29 4","Mountain","Cross Country Race","Aluminum"
"23",2011-01-12,7,5,1,2340,2340,9,"Minneapolis Bike Shop","Minneapolis","MN",44.977753,-93.265011,87,"Habit 5","Mountain","Trail","Aluminum"
"24",2011-01-12,7,6,1,12790,12790,9,"Minneapolis Bike Shop","Minneapolis","MN",44.977753,-93.265011,55,"Scalpel-Si Black Inc.","Mountain","Cross Country Race","Carbon"
"25",2011-01-12,7,7,1,3200,3200,9,"Minneapolis Bike Shop","Minneapolis","MN",44.977753,-93.265011,7,"Supersix Evo Ultegra 3","Road","Elite Road","Carbon"
