,Total Revenue Passenger Miles,Total Domestic Revenue Passenger Miles,Total International Revenue Passenger Miles,Year
0,"  557,234 ","  402,776 ","  151,032 ",1995
1,"  598,203 ","  436,647 ","  156,796 ",1996
2,"  622,234 ","  453,023 ","  164,848 ",1997
3,"  635,795 ","  463,618 ","  166,962 ",1998
4,"  670,779 ","  489,655 ","  175,316 ",1999
5,"  708,762 ","  515,703 ","  187,404 ",2000
6,"  725,027 ","  503,471 ","  173,617 ",2001
7,"  655,250 ","  483,253 ","  167,341 ",2002
8,"  673,997 ","  505,420 ","  161,066 ",2003
9,"  751,593 ","  557,936 ","  185,009 ",2004
10,"  794,613 ","  583,625 ","  201,935 ",2005
11,"  810,120 ","  590,592 ","  213,858 ",2006
12,"  842,026 ","  606,909 ","  226,972 ",2007
13,"  823,783 ","  583,232 ","  232,462 ",2008
14,"  779,997 ","  552,097 ","  221,317 ",2009
15,"  809,068 ","  564,695 ","  237,247 ",2010
16,"  825,916 ","  575,613 ","  243,228 ",2011
17,"  832,734 ","  580,501 ","  247,547 ",2012
18,"  848,000 ","  589,692 ","  254,558 ",2013
19,"  869,677 ","  607,772 ","  258,511 ",2014
20,"  908,795 ","  641,905 ","  264,094 ",2015
21,"  939,118 ","  670,371 ","  266,088 ",2016
22,"  969,904 ","  693,818 ","  273,633 ",2017
23,"  1,016,918 ","  730,721 ","  283,189 ",2018
24,"  1,060,859 ","  762,889 ","  295,009 ",2019
